Movie name,Year_of_Release,Watch_Time,Genre,Movie_Rating,Metascore of movie,Votes,Gross,Description
The Departed,2006,151 min,"Crime,Drama,Thriller",8.5,85        ,"1,349,581",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Back to the Future,1985,116 min,"Adventure,Comedy,Sci-Fi",8.5,87        ,"1,231,416",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
Casablanca,1942,102 min,"Drama,Romance,War",8.5,100        ,"581,233",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
The Prestige,2006,130 min,"Drama,Mystery,Sci-Fi",8.5,66        ,"1,357,907",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
Psycho,1960,109 min,"Horror,Mystery,Thriller",8.5,97        ,"684,273",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
Alien,1979,117 min,"Horror,Sci-Fi",8.5,89        ,"898,939",$78.90M,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
Apocalypse Now,1979,147 min,"Drama,Mystery,War",8.5,94        ,"679,398",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Léon,1994,110 min,"Action,Crime,Drama",8.5,64        ,"1,183,120",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
The Pianist,2002,150 min,"Biography,Drama,Music",8.5,85        ,"850,821",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
The Lion King,1994,88 min,"Animation,Adventure,Drama",8.5,88        ,"1,079,343",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
The Usual Suspects,1995,106 min,"Crime,Drama,Mystery",8.5,77        ,"1,100,481",$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
American History X,1998,119 min,"Crime,Drama",8.5,62        ,"1,139,083",$6.72M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
The Intouchables,2011,112 min,"Biography,Comedy,Drama",8.5,57        ,"876,998",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
Once Upon a Time in the West,1968,165 min,Western,8.5,82        ,"335,729",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
Hotaru no haka,1988,89 min,"Animation,Drama,War",8.5,94        ,"285,326",#44,A young boy and his little sister struggle to survive in Japan during World War II.
Rear Window,1954,112 min,"Mystery,Thriller",8.5,100        ,"499,942",$36.76M,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
Nuovo Cinema Paradiso,1988,155 min,"Drama,Romance",8.5,80        ,"266,980",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
Kaithi,2019,145 min,"Action,Adventure,Crime",8.5,NA,"35,551",NA,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
Modern Times,1936,87 min,"Comedy,Drama,Romance",8.5,96        ,"247,231",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
City Lights,1931,87 min,"Comedy,Drama,Romance",8.5,99        ,"187,837",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
96,II 2018,158 min,"Drama,Romance",8.5,NA,"32,897",NA,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
Avengers: Endgame,2019,181 min,"Action,Adventure,Drama",8.4,78        ,"1,169,080",$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Joker,I 2019,122 min,"Crime,Drama,Thriller",8.4,59        ,"1,340,901",$335.45M,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
Raiders of the Lost Ark,1981,115 min,"Action,Adventure",8.4,85        ,"982,144",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
Spider-Man: Into the Spider-Verse,2018,117 min,"Animation,Action,Adventure",8.4,87        ,"555,732",$190.24M,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
Django Unchained,2012,165 min,"Drama,Western",8.4,81        ,"1,590,227",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
Kimi no na wa.,2016,106 min,"Animation,Drama,Fantasy",8.4,79        ,"282,406",$5.02M,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
The Shining,1980,146 min,"Drama,Horror",8.4,66        ,"1,043,565",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
Oldeuboi,2003,101 min,"Action,Drama,Mystery",8.4,77        ,"592,774",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
Idi i smotri,1985,142 min,"Drama,Thriller,War",8.4,NA,"84,724",#92,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
The Dark Knight Rises,2012,164 min,"Action,Drama,Thriller",8.4,78        ,"1,733,610",$448.14M,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
Avengers: Infinity War,2018,149 min,"Action,Adventure,Sci-Fi",8.4,68        ,"1,113,449",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Braveheart,1995,178 min,"Biography,Drama,History",8.4,68        ,"1,052,166",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Memento,2000,113 min,"Mystery,Thriller",8.4,81        ,"1,258,359",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
Aliens,1986,137 min,"Action,Adventure,Sci-Fi",8.4,84        ,"729,486",$85.16M,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
Coco,I 2017,105 min,"Animation,Adventure,Comedy",8.4,81        ,"528,857",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
WALL·E,2008,98 min,"Animation,Adventure,Family",8.4,95        ,"1,137,055",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
Amadeus,1984,160 min,"Biography,Drama,Music",8.4,88        ,"408,242",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
The Lives of Others,2006,137 min,"Drama,Mystery,Thriller",8.4,89        ,"395,363",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
3 Idiots,2009,170 min,"Comedy,Drama",8.4,67        ,"408,951",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,"Comedy,War",8.4,97        ,"498,525",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
Capharnaüm,2018,126 min,Drama,8.4,75        ,"94,119",$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Das Boot,1981,149 min,"Drama,War",8.4,86        ,"254,733",$11.49M,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
Sunset Blvd.,1950,110 min,"Drama,Film-Noir",8.4,94        ,"225,952",#59,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Witness for the Prosecution,1957,116 min,"Crime,Drama,Mystery",8.4,76        ,"128,797",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
Paths of Glory,1957,88 min,"Drama,War",8.4,90        ,"201,427",#60,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
The Great Dictator,1940,125 min,"Comedy,Drama,War",8.4,NA,"227,808",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Tengoku to jigoku,1963,143 min,"Crime,Drama,Mystery",8.4,90        ,"47,356",#86,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
Sardar Udham,2021,164 min,"Biography,Crime,Drama",8.4,NA,"43,819",NA,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.
Asuran,2019,141 min,"Action,Drama",8.4,NA,"30,968",NA,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
Drishyam 2,2021,152 min,"Crime,Drama,Thriller",8.4,NA,"38,821",NA,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
Top Gun: Maverick,2022,130 min,"Action,Drama",8.3,78        ,"572,953",$718.73M,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
Good Will Hunting,1997,126 min,"Drama,Romance",8.3,70        ,"997,290",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Inglourious Basterds,2009,153 min,"Adventure,Drama,War",8.3,69        ,"1,483,227",$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Heat,1995,170 min,"Action,Crime,Drama",8.3,76        ,"669,880",$67.44M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
